Subject,Session,GamesPlayed,Version,AvgDifficulty,StartDifficulty,EndDifficulty,MinDifficulty,MaxDifficulty,AvgRT,AvgAccuracy
22,1,14,1,1,1,1,1,1,1037.14285714286,65.7142857142857
22,2,10,1,1.2,1,2,1,2,1090.8,70
22,3,10,1,1.1,2,1,1,2,962.3,48
22,4,10,1,1.6,1,1,1,2,987.7,71.2
22,5,10,1,1.3,1,2,1,2,1108.2,67
22,6,10,1,2.9,2,3,2,4,985,77.7
22,7,11,1,2.54545454545455,3,4,2,4,946,70.2727272727273
22,8,10,1,3.8,4,3,3,5,882.9,72.5
22,9,11,1,2.72727272727273,3,2,2,4,1070.90909090909,66.3636363636364
22,10,10,1,3.7,2,4,2,5,959.4,77
22,11,10,1,3.5,4,3,3,4,1004.9,72
22,12,10,1,3,3,4,2,4,974.8,72
22,13,10,1,5.8,4,7,4,7,1010.5,79.7
22,14,10,1,7.5,7,7,7,8,930.3,75
22,15,10,1,8,7,7,7,9,874.9,76
22,16,11,1,8.54545454545455,7,9,7,10,976.454545454546,74.8181818181818
22,17,10,1,9.5,9,10,9,10,938.6,79.3
22,18,10,1,8.5,10,8,8,10,943.1,66.5
22,19,11,1,5.09090909090909,8,2,2,8,897.090909090909,67.2727272727273
22,20,10,1,1.3,2,1,1,2,851.8,50.6
22,21,10,1,1.6,1,1,1,3,1013.7,71.6
22,22,10,1,1.5,1,1,1,2,808.3,71.8
22,23,10,1,1.2,1,2,1,2,834.8,73.5
22,24,10,1,3.3,2,3,2,4,972.9,79
22,25,10,1,1.7,3,1,1,3,771.2,62.6
22,26,10,1,1,1,1,1,1,887.7,70.6
22,27,10,1,1.3,1,2,1,2,760.4,80
22,28,9,1,3,2,3,2,4,896.555555555556,73.3333333333333
22,29,10,1,1.8,3,1,1,3,818.7,69
22,30,10,1,1,1,1,1,1,963.7,60
22,31,12,1,1.25,1,1,1,2,669.333333333333,63.5
22,32,10,1,1.1,1,1,1,2,745.6,74
22,33,10,1,1.4,1,2,1,2,800.1,76
22,34,11,1,2.36363636363636,2,1,1,4,735.181818181818,66.3636363636364
22,35,10,1,1,1,1,1,1,714.6,65.5
22,36,11,1,1.27272727272727,1,1,1,2,719,61.8181818181818
22,37,10,1,1.8,1,2,1,3,800.8,74
22,38,10,1,2.9,2,3,2,4,779.4,75
22,39,10,1,3.4,3,3,3,4,843.4,71
22,40,10,1,1.3,3,1,1,3,812.7,60.2
22,41,10,1,1.4,1,1,1,3,721.5,62.7
22,42,10,1,1.3,1,2,1,2,824.9,72.7
22,43,10,1,1.2,2,1,1,2,838.4,66
22,44,10,1,1.1,1,2,1,2,796.7,67
22,1,7,2,1.14285714285714,1,2,1,2,1061.85714285714,60.4285714285714
22,2,10,2,2.1,2,2,2,3,1024.1,72
22,3,10,2,1.8,2,1,1,3,858.4,74.6
22,4,11,2,1.45454545454545,1,1,1,2,1058.18181818182,68.1818181818182
22,5,10,2,1,1,1,1,1,963.4,71
22,6,10,2,1.8,2,2,1,2,950,77
22,7,10,2,1.2,2,2,1,2,933.4,69
22,8,10,2,1,1,1,1,1,908.6,67.6
22,9,10,2,1.5,1,3,1,3,987.2,74
22,10,10,2,2.1,3,2,1,3,866.5,75.6
22,11,11,2,3.72727272727273,2,7,2,7,856.545454545455,74.5454545454545
22,12,11,2,6.90909090909091,7,7,6,7,841.090909090909,75.4545454545455
22,13,11,2,6.36363636363636,7,8,5,8,857.090909090909,77.2727272727273
22,14,9,2,8.44444444444444,8,9,8,9,937.888888888889,77.7777777777778
22,15,10,2,6.8,9,6,5,9,849.8,69.8
22,16,10,2,6,6,6,5,7,853.5,74
22,17,10,2,5.8,6,5,5,7,940.5,74.5
22,18,10,2,5.1,5,4,4,6,855.6,77
22,19,10,2,5.7,4,7,4,7,952.4,78
22,20,10,2,7.2,7,6,6,8,1013.8,73.7
22,21,10,2,7.1,6,7,6,8,871.4,77.7
22,22,10,2,8.1,7,9,7,9,857.8,78.1
22,23,10,2,9.6,9,9,9,10,974.2,78
22,24,10,2,8.1,9,9,7,9,909.6,75.7
22,25,10,2,11.1,9,12,9,12,743.2,79
22,26,10,2,12,11,11,11,13,862.2,70.8
22,27,10,2,10.9,11,11,10,12,919.6,77
22,28,9,2,10.5555555555556,11,10,10,11,832.555555555556,70.1111111111111
22,29,11,2,11.4545454545455,10,12,10,12,743.363636363636,77.9090909090909
22,30,10,2,13.6,12,15,12,16,844.1,84
22,31,11,2,10,15,5,5,15,548.818181818182,37.0909090909091
22,32,11,2,15.8181818181818,15,15,15,17,652.090909090909,68.1818181818182
22,33,10,2,13.8,15,14,13,15,823.4,76.8
22,34,10,2,13.2,14,11,11,14,787.2,64
22,35,10,2,9.6,10,9,9,10,747.3,75
22,36,11,2,9.81818181818182,9,10,9,11,804.909090909091,71.1818181818182
22,37,10,2,12.5,10,12,10,15,848.8,74.6
22,38,10,2,11.2,12,10,10,12,814.5,68.2
22,39,11,2,11.0909090909091,10,10,10,12,746.909090909091,75.4545454545455
22,40,10,2,7.9,10,7,7,10,799.7,67
22,41,10,2,6.7,7,5,5,8,705.7,68
22,42,10,2,3.9,4,3,3,5,783.5,72
22,43,10,2,2,3,1,1,3,730.5,70.5
22,44,10,2,1,1,1,1,1,892.2,65.5
22,1,5,3,2.4,2,3,2,3,896.8,81.4
22,2,10,3,4.7,3,6,3,6,1014.2,76
22,3,11,3,5.18181818181818,6,6,4,6,1036.72727272727,66.3636363636364
22,4,10,3,5.4,6,5,5,6,922.2,72.6
22,5,11,3,5.18181818181818,5,5,5,6,1046.36363636364,76.3636363636364
22,6,10,3,2.9,5,2,2,5,993,70
22,7,11,3,5.63636363636364,2,9,2,9,938.545454545455,87.2727272727273
22,8,11,3,8.81818181818182,9,9,7,10,854.909090909091,63.6363636363636
22,9,10,3,8.9,9,8,8,10,1070.1,70.5
22,10,10,3,8.3,8,8,8,9,1035.6,76.7
22,11,10,3,6.5,8,6,5,8,961.9,63
22,12,11,3,7.63636363636364,6,7,6,8,1004.27272727273,79.7272727272727
22,13,11,3,6.18181818181818,7,4,4,7,857.545454545455,73.6363636363636
22,14,10,3,3.7,4,3,3,5,927.1,72.7
22,15,11,3,3.63636363636364,3,2,2,5,868.727272727273,71.8181818181818
22,16,11,3,3.36363636363636,2,2,2,5,888.363636363636,77.2727272727273
22,17,10,3,2.7,2,3,2,3,915.9,77.5
22,18,10,3,3.9,3,5,3,5,958.1,77.5
22,19,10,3,6.6,5,7,5,8,857.7,78.6
22,20,10,3,5.8,7,3,3,8,1112.4,66.1
22,21,11,3,6.72727272727273,7,5,5,8,789.454545454546,63.6363636363636
22,22,10,3,3.4,5,2,2,5,869.1,67
22,23,10,3,1.5,2,1,1,2,886.8,72
22,24,11,3,1.54545454545455,1,2,1,3,871.545454545455,79.0909090909091
22,25,10,3,2.1,2,3,1,3,747.1,76
22,26,10,3,3,3,4,2,4,864,74.6
22,27,9,3,2.33333333333333,4,2,1,4,808.888888888889,71.1111111111111
22,28,10,3,3,2,3,2,4,810.2,70
22,29,11,3,1.63636363636364,3,2,1,3,814.272727272727,75.4545454545455
22,30,10,3,3.3,2,5,2,5,793.2,81
22,31,9,3,4.11111111111111,5,2,2,5,827.444444444444,65.5555555555556
22,32,11,3,1.72727272727273,2,2,1,3,774.909090909091,67.2727272727273
22,33,10,3,5.1,3,6,3,6,856,82.5
22,34,9,3,3.33333333333333,6,2,2,6,729.555555555556,65.1111111111111
22,35,11,3,2.36363636363636,2,2,1,3,802.272727272727,76.3636363636364
22,36,11,3,1.36363636363636,2,1,1,2,767.636363636364,65.4545454545455
22,37,9,3,1,1,1,1,1,601.777777777778,62
22,38,10,3,1,1,1,1,1,869.8,64.6
22,39,9,3,1.33333333333333,1,1,1,2,798.222222222222,72.7777777777778
22,40,10,3,2.9,1,2,1,4,955.9,72
22,41,10,3,1.2,1,1,1,2,876.6,69
22,42,11,3,1.18181818181818,1,1,1,2,764.454545454546,75.4545454545455
22,43,10,3,1.7,1,2,1,3,870.4,78
22,44,10,3,2.1,2,1,1,3,777.8,70.6
