Subject,Session,GamesPlayed,Version,AvgDifficulty,StartDifficulty,EndDifficulty,MinDifficulty,MaxDifficulty,AvgRT,AvgAccuracy
20,1,16,1,1.25,2,1,1,2,967.9375,58.125
20,2,9,1,1.66666666666667,1,3,1,3,1079.55555555556,71.6666666666667
20,3,9,1,2.77777777777778,3,2,2,4,1140.88888888889,70
20,4,10,1,2.4,3,1,1,4,1114.9,65
20,5,9,1,1.88888888888889,1,1,1,3,1137.55555555556,73.3333333333333
20,6,10,1,1,1,1,1,1,1067.5,61.7
20,7,9,1,1,1,1,1,1,1093.66666666667,67.7777777777778
20,8,11,1,1.45454545454545,1,1,1,3,951.545454545455,76.3636363636364
20,9,9,1,1.22222222222222,1,2,1,2,1027.88888888889,74.7777777777778
20,10,9,1,2.22222222222222,2,3,1,4,1079.22222222222,75.5555555555556
20,11,8,1,2.25,3,3,2,3,1046.875,78.75
20,12,8,1,4.375,3,5,3,5,964.125,77.75
20,13,9,1,5.11111111111111,5,5,5,6,981,73.5555555555556
20,14,10,1,3.3,5,2,2,5,1114.1,65.6
20,15,9,1,3.11111111111111,2,5,1,5,1032.44444444444,79.1111111111111
20,16,10,1,5,5,3,3,6,1031.7,74
20,17,9,1,2.44444444444444,3,3,1,3,1140.77777777778,76.6666666666667
20,18,10,1,2.3,4,1,1,4,1124.2,63.3
20,19,10,1,1.3,1,2,1,2,1151.3,82
20,20,5,1,2.4,2,3,2,3,1104.2,78
20,21,10,1,4.3,3,3,3,5,949.5,66
20,22,8,1,4.75,3,6,3,6,1024.75,80.75
20,23,7,1,7.42857142857143,6,8,6,8,1070.85714285714,78.5714285714286
20,24,7,1,9.28571428571429,8,9,8,10,1096.14285714286,78.5714285714286
20,25,6,1,9.16666666666667,9,10,9,10,919.5,81.6666666666667
20,26,7,1,12.4285714285714,11,13,11,14,1031.85714285714,67.1428571428571
20,27,8,1,12.5,13,12,12,13,965.125,71.25
20,28,9,1,12.8888888888889,12,14,12,14,854.888888888889,77
20,29,7,1,13.8571428571429,14,14,13,15,1111.85714285714,76.8571428571429
20,30,8,1,15.75,14,17,14,17,1008.875,82.5
20,31,8,1,18.375,17,19,17,19,937.875,83.75
20,32,8,1,19.5,19,20,19,20,914.125,74.375
20,33,9,1,46,49,45,44,49,1072.11111111111,61.1111111111111
20,34,5,1,44.6,45,44,44,45,1055.2,59.4
20,35,9,1,41.3333333333333,44,39,39,44,1040.44444444444,53.3333333333333
20,36,10,1,36.2,39,35,34,39,1005.2,56.5
20,37,8,1,33.25,35,32,32,35,1145.25,70
