Subject,Session,GamesPlayed,Version,AvgDifficulty,StartDifficulty,EndDifficulty,MinDifficulty,MaxDifficulty,AvgRT,AvgAccuracy
13,1,7,1,1.42857142857143,2,1,1,2,1056.85714285714,65.7142857142857
13,2,10,1,2.6,1,6,1,6,1140.6,80.6
13,3,11,1,5.72727272727273,6,6,4,7,1121.18181818182,74.7272727272727
13,4,10,1,5.9,6,6,5,6,1073.8,77
13,5,9,1,3.44444444444444,6,3,2,6,1059.44444444444,62.2222222222222
13,6,10,1,3.2,3,3,3,4,1252.8,75
13,7,10,1,4.3,3,6,2,6,1098.3,81
13,8,10,1,7.2,6,8,6,9,1128.3,83
13,9,10,1,10,8,12,8,12,1216.6,80.7
13,10,10,1,15.8,12,17,12,18,1220.6,86
13,11,11,1,20.0909090909091,17,21,17,22,1074.54545454545,82.7272727272727
13,12,10,1,20.8,21,21,20,21,1264.5,76.6
13,13,10,1,20.5,21,20,20,21,1192,72.7
13,14,11,1,20.2727272727273,20,20,20,21,973.727272727273,70.9090909090909
13,15,10,1,21.6,20,24,20,24,1244.4,74
13,16,10,1,21.6,24,20,20,24,1038.9,63
13,17,11,1,20.5454545454545,20,22,19,22,1122.09090909091,74.5454545454545
13,18,10,1,22.5,22,23,21,24,1027.2,80
13,19,10,1,24.9,23,26,23,26,1113.6,81.7
13,20,11,1,27.3636363636364,26,29,26,29,1144.09090909091,82.7272727272727
13,21,11,1,28.2727272727273,29,28,27,29,1036.45454545455,70.2727272727273
13,22,11,1,28.4545454545455,28,29,28,29,1184.45454545455,78.1818181818182
13,23,11,1,27.0909090909091,29,25,25,29,1088.45454545455,64.5454545454545
13,24,11,1,27.0909090909091,25,29,25,29,994.545454545455,79.0909090909091
13,25,11,1,29.3636363636364,29,28,28,31,944.090909090909,68.3636363636364
13,26,11,1,27.3636363636364,28,26,26,28,949.636363636364,72.5454545454545
13,27,11,1,27.3636363636364,26,29,26,29,1034.27272727273,79.0909090909091
13,28,11,1,28.5454545454545,29,29,28,29,1116.81818181818,74.2727272727273
13,29,10,1,29.3,29,31,28,31,989,81.1
13,30,11,1,32.4545454545455,31,32,31,34,1043.81818181818,71.5454545454545
13,31,11,1,31.5454545454545,32,32,30,33,1042.18181818182,75.9090909090909
13,32,11,1,29.9090909090909,32,29,28,32,1058,69.1818181818182
13,33,11,1,29.5454545454545,29,29,28,31,1005.45454545455,67.2727272727273
13,34,11,1,27,29,26,25,29,984.181818181818,71.5454545454545
13,35,11,1,27.5454545454545,26,28,26,29,1119.09090909091,77.2727272727273
13,36,11,1,28.9090909090909,28,31,27,31,985,79.0909090909091
13,37,12,1,31.25,31,32,31,32,1024.41666666667,73.3333333333333
13,38,11,1,31,32,31,30,32,1004,65.1818181818182
13,39,11,1,28.9090909090909,31,27,27,31,957.272727272727,70
13,40,11,1,27,27,27,26,28,1053.18181818182,75.4545454545455
13,41,11,1,27.0909090909091,27,27,26,28,1030,73.6363636363636
13,42,12,1,27.1666666666667,27,27,26,28,949.166666666667,67.5
13,43,9,1,27.4444444444444,27,27,26,29,1060.66666666667,72.1111111111111
13,44,11,1,28.2727272727273,27,27,27,30,928.363636363636,73.6363636363636
13,45,11,1,25.1818181818182,27,26,24,27,1003.45454545455,72.7272727272727
13,46,11,1,25.4545454545455,26,26,25,26,1052.63636363636,75
13,47,10,1,25,26,24,24,26,1160.2,65.2
13,48,10,1,22.7,24,21,21,24,1012,64
13,1,11,2,1.90909090909091,2,3,1,3,1233.63636363636,70.9090909090909
13,2,9,2,2.33333333333333,3,1,1,3,890.222222222222,66.8888888888889
13,3,9,2,1.88888888888889,1,3,1,3,1120.88888888889,78.8888888888889
13,4,9,2,4.55555555555556,3,6,3,6,1130.22222222222,80.5555555555556
13,5,9,2,7.55555555555556,6,10,6,10,1109.22222222222,84.2222222222222
13,6,9,2,10.6666666666667,10,13,10,13,1193,83.3333333333333
13,7,2,2,13.5,13,14,13,14,978.5,75
13,8,10,2,12.6,14,11,11,14,1064.2,70
13,9,10,2,11.1,11,12,10,12,1173.6,77
13,10,10,2,13,12,13,12,14,1095.9,77
13,11,9,2,15.6666666666667,13,18,13,18,1154.44444444444,88.8888888888889
13,12,10,2,20.6,17,24,17,24,1040.2,87
13,13,8,2,23.875,24,23,23,24,950,65.125
13,14,10,2,23.1,23,23,23,24,1092.5,73
13,15,10,2,23.7,23,26,22,26,1074.2,78
13,16,11,2,25.2727272727273,26,26,24,26,1034.27272727273,74.0909090909091
13,17,11,2,27.6363636363636,26,30,26,30,1061.63636363636,81.8181818181818
