Subject,Session,GamesPlayed,Version,AvgDifficulty,StartDifficulty,EndDifficulty,MinDifficulty,MaxDifficulty,AvgRT,AvgAccuracy
13,1,8,1,4.125,2,6,2,6,832.875,88
13,2,7,1,5.14285714285714,6,5,5,6,990.142857142857,80.1428571428571
13,3,8,1,5,5,5,5,5,1158.25,81.375
13,4,8,1,5.375,5,5,5,6,853.375,79.25
13,5,8,1,5.375,5,6,5,6,1070.75,77.75
13,6,8,1,6.5,6,7,6,7,1154.625,81.25
13,7,15,1,7.2,7,7,6,8,971.866666666667,76.8
13,8,8,1,6.625,8,5,5,8,1073.875,75.5
13,9,8,1,6.875,5,8,5,8,1177.125,83.375
13,10,8,1,7,8,7,6,8,1077.375,79
13,11,8,1,7,7,6,6,8,1085.75,77.75
13,12,8,1,7.125,7,7,6,8,1009.75,79.875
13,13,8,1,7.875,7,9,7,9,1219.375,83
13,14,8,1,7.75,9,6,6,9,1140,65.375
13,15,9,1,7.88888888888889,9,8,7,9,974,74
13,16,8,1,8,8,8,7,9,1070.25,78.625
13,17,9,1,7.22222222222222,8,8,7,8,808.555555555556,74.1111111111111
13,18,8,1,7.125,8,7,6,8,925.625,79.75
13,19,8,1,7.875,7,8,7,9,960.75,81.5
13,20,8,1,6.75,8,7,6,8,947.5,82.375
13,21,8,1,8.125,7,8,7,9,871.125,81.125
13,22,8,1,8.125,8,9,8,9,981.875,80.375
13,23,8,1,8.25,9,9,8,9,972.5,80.25
13,24,8,1,9.125,9,10,9,10,881.25,80
13,25,9,1,9.11111111111111,10,8,8,10,996.777777777778,74
13,26,8,1,8,8,8,8,8,885.125,82.875
13,27,9,1,8.11111111111111,8,7,7,9,946.111111111111,79.7777777777778
13,28,9,1,8.33333333333333,7,8,7,9,957.777777777778,77.1111111111111
13,29,8,1,8.25,8,8,8,9,931.375,79.625
13,30,8,1,8.375,8,8,8,9,894.125,78.875
13,31,8,1,7.75,8,9,7,9,906,83.375
13,32,8,1,8.375,9,8,8,9,917.75,80.25
13,33,8,1,8.25,8,8,8,9,1028,78.25
13,34,8,1,9.25,8,10,8,10,917.25,78
13,35,8,1,13.125,16,11,11,16,1064.75,64.25
13,36,9,1,9.66666666666667,11,9,9,11,1064.33333333333,81
13,37,8,1,9.125,9,9,9,10,944.5,81.875
13,38,9,1,9.33333333333333,9,10,9,10,996,76.6666666666667
13,39,8,1,9.125,10,9,8,10,1057.125,77.5
13,40,8,1,8.375,9,8,8,9,1035,75.875
13,41,8,1,8.375,8,9,8,9,1147.875,80.625
13,42,11,1,8.27272727272727,9,9,8,9,825.090909090909,82.1818181818182
13,43,8,1,7.875,9,7,7,9,1073.75,75.75
13,44,8,1,7.625,7,8,7,8,1045.5,85.5
13,45,9,1,8.44444444444444,7,9,7,9,1044.44444444444,82.1111111111111
13,46,9,1,9.55555555555556,9,10,9,10,996.222222222222,82.7777777777778
13,47,9,1,9.33333333333333,10,9,9,10,988.555555555556,81.2222222222222
13,48,8,1,9.875,9,11,9,11,1225.25,83.75
13,1,7,2,4.14285714285714,2,7,2,7,738.142857142857,96.7142857142857
13,2,8,2,9.125,7,11,7,11,762,87.625
13,3,8,2,11.5,11,11,11,12,822.125,80.375
13,4,8,2,11.75,11,12,11,13,847.375,83.375
13,5,8,2,11.375,12,12,11,12,819.25,79.375
13,6,8,2,14.375,12,16,12,16,1097.375,85.625
13,7,8,2,16,16,16,16,16,835.625,79.625
13,8,8,2,13.5,16,11,11,16,1059,70.875
13,9,8,2,13,11,15,11,15,1054.625,88.625
13,10,8,2,16.125,15,18,15,18,1030.875,86.375
13,11,8,2,18,18,17,17,19,978,79.75
13,12,7,2,17.8571428571429,17,19,17,19,1105.14285714286,82.1428571428571
13,13,8,2,17.5,19,17,16,19,927.375,74.875
13,14,8,2,16.625,17,17,16,17,844.75,80
13,15,8,2,17.25,17,18,17,18,782,75.625
13,16,8,2,17.75,18,19,17,19,1163,82.375
13,17,9,2,17.7777777777778,19,17,17,19,845.888888888889,75.4444444444444
13,18,8,2,17.125,17,17,17,18,814,80.5
13,19,8,2,16.375,17,17,16,17,817.375,83.75
13,20,8,2,17.125,17,17,17,18,794.375,82.75
13,21,8,2,17.875,17,18,17,18,871.75,81.375
13,22,8,2,17.875,18,17,17,18,907.25,83.125
13,23,8,2,16.875,17,18,16,18,874.5,82.75
13,24,9,2,17.6666666666667,18,18,17,18,807.666666666667,81.8888888888889
13,25,8,2,18.25,18,19,18,19,1047.375,83
13,26,8,2,18.375,19,19,17,19,805.875,77.875
13,27,8,2,19.5,19,19,19,20,971.625,78.625
13,28,8,2,19,19,20,18,20,842,83
13,29,8,2,19,19,19,19,19,894,79.375
13,30,8,2,18.125,19,18,18,19,840.875,79.875
13,31,8,2,18.125,18,19,18,19,820,82.375
13,32,8,2,19,19,19,19,19,858.625,84.5
13,33,8,2,18.375,19,19,18,19,940.625,82.5
13,34,8,2,18.875,19,19,18,19,848.5,83.5
13,35,8,2,18.125,19,18,17,19,835.5,78
13,36,8,2,18,18,18,17,19,998.5,78.5
13,37,8,2,17.625,18,18,17,18,960,80.625
13,38,8,2,18.25,18,18,18,19,783.125,81.5
13,39,8,2,18.75,18,20,18,20,985.5,84.125
13,40,8,2,19.625,20,18,18,20,905.875,79.25
13,41,8,2,17.625,19,16,16,19,1028.5,69.5
13,42,9,2,18.2222222222222,16,19,16,20,830,78.2222222222222
13,43,9,2,18.8888888888889,19,18,18,20,1099.66666666667,74
13,44,8,2,18.625,18,19,18,19,1032,80.5
13,45,9,2,18.8888888888889,19,18,18,19,967.666666666667,79.5555555555556
13,46,8,2,18.75,18,18,18,19,1005.375,80.125
13,47,8,2,16,16,17,15,17,1017.875,80.875
13,48,8,2,17.5,17,18,17,18,827.25,83.125
13,1,10,3,2.6,2,3,2,3,1129.7,80.6
13,2,8,3,2.375,3,1,1,3,969.5,74.5
13,3,8,3,3,1,4,1,4,1145.875,85.625
13,4,10,3,5.1,4,5,4,6,999.5,80.9
13,5,7,3,4,5,3,3,5,1037.85714285714,75.5714285714286
13,6,8,3,4.25,3,5,3,5,1070.75,86.625
13,7,8,3,5.75,5,6,5,6,879.875,81.5
13,8,8,3,5.5,6,5,5,6,969.5,76.625
13,9,8,3,5.875,5,6,5,6,1070.75,81
13,10,8,3,6.875,6,8,6,8,1024.75,84.125
13,11,8,3,7.125,8,7,6,8,865.125,81.25
13,12,8,3,8.125,7,9,7,9,970.125,83
13,13,8,3,8.5,9,9,8,9,1016.875,79.5
13,14,9,3,8.44444444444444,9,8,8,9,968.666666666667,78.6666666666667
13,15,9,3,7.33333333333333,9,6,6,9,1002.44444444444,80.4444444444444
13,16,8,3,8,6,9,6,9,1102.125,87.125
13,17,9,3,7.88888888888889,9,8,7,9,847.222222222222,76.1111111111111
13,18,8,3,8.125,8,8,7,9,923.25,77.75
13,19,8,3,9.25,8,10,8,10,836.375,81.875
13,20,9,3,9,10,8,8,10,845.444444444444,80.6666666666667
13,21,8,3,8.125,8,8,8,9,835.125,79.5
13,22,8,3,9.375,8,10,8,10,904.25,85
13,23,8,3,9.375,10,9,9,10,1105.875,77.875
13,24,9,3,9.77777777777778,9,10,9,11,798.555555555556,82.3333333333333
13,25,8,3,9.375,10,9,9,10,929.625,78.5
13,26,8,3,9.25,9,11,8,11,1037.625,80.125
13,27,8,3,10.125,11,10,9,11,913.25,76.25
13,28,9,3,9.22222222222222,10,10,9,10,886.222222222222,84.8888888888889
13,29,8,3,11.25,10,11,10,12,927.5,81
13,30,8,3,11.375,11,11,11,12,932.375,83.5
13,31,8,3,10.625,11,11,10,11,921.875,78.75
13,32,8,3,10.875,11,11,10,11,888.75,81
13,33,8,3,10.375,11,10,10,11,986.25,78.5
13,34,8,3,10.375,10,10,10,11,900.75,82
13,35,8,3,10.25,10,11,10,11,908.875,82.625
13,36,8,3,11.125,11,12,11,12,993.625,77.625
13,37,9,3,11.3333333333333,12,9,9,12,964.444444444444,71.8888888888889
13,38,8,3,9,9,9,8,10,864.25,83
13,39,8,3,10.25,9,12,9,12,1003.125,82.875
13,40,8,3,10.25,11,10,10,11,1049,77.5
13,41,9,3,8.88888888888889,10,7,7,10,1014.55555555556,74.5555555555556
13,42,14,3,19.2857142857143,29,10,7,29,992.071428571429,67.2142857142857
13,43,8,3,8.875,10,7,7,10,931.75,78.625
