Subject,Session,GamesPlayed,Version,AvgDifficulty,StartDifficulty,EndDifficulty,MinDifficulty,MaxDifficulty,AvgRT,AvgAccuracy
6,1,7,1,2.28571428571429,2,3,2,3,827,88.8571428571429
6,2,8,1,2.25,3,1,1,3,995.875,75.75
6,3,15,1,2.86666666666667,1,3,1,4,993.266666666667,82.0666666666667
6,4,8,1,3.125,3,3,3,4,857.125,83
6,5,8,1,3.5,3,3,3,4,927.75,81.25
6,6,8,1,3.75,3,4,3,4,962.125,81.5
6,7,8,1,3.625,4,4,3,4,915.125,79.125
6,8,8,1,3.875,4,4,3,4,852.25,79.5
6,9,8,1,3.75,4,3,3,5,929.25,80.125
6,10,8,1,4.875,4,5,4,6,940.375,83.5
6,11,8,1,4.875,5,5,4,5,881.25,82.25
6,12,8,1,4.875,5,4,4,6,1009.625,79.875
6,13,9,1,4.44444444444444,4,5,4,5,985.333333333333,82.1111111111111
6,14,8,1,4.5,5,5,4,5,857.75,82
6,15,8,1,5,5,5,5,5,1006.125,80.125
6,16,8,1,4.875,5,5,4,6,934,75.5
6,17,8,1,5.25,5,5,5,6,972.375,77.375
6,18,8,1,4.625,5,5,4,5,906.25,79.875
6,19,8,1,4.375,5,5,4,5,1018.375,80.25
6,20,8,1,5,5,5,4,6,883.5,77.875
6,21,9,1,4.66666666666667,5,5,4,5,978.888888888889,75.5555555555556
6,22,9,1,5.33333333333333,5,5,4,7,883.333333333333,81
6,23,8,1,4.75,5,4,4,6,869.25,81.875
6,24,8,1,4.625,4,5,4,5,928.375,84.5
6,25,8,1,5,5,5,5,5,1030.125,84.25
6,26,8,1,5.25,5,4,4,6,953,82.25
6,27,9,1,5.33333333333333,4,5,4,6,863.444444444444,77.4444444444444
6,28,8,1,5.125,5,4,4,6,1079.625,74.625
6,29,9,1,5.66666666666667,8,6,4,8,970.777777777778,74.6666666666667
6,30,8,1,5.5,6,5,5,6,888.75,76.875
6,31,7,1,4.71428571428571,5,4,4,5,957.285714285714,81.8571428571429
6,32,9,1,5.11111111111111,4,5,4,6,1068.55555555556,78.7777777777778
6,33,8,1,4.5,5,5,4,5,1023.875,80.75
6,34,9,1,5.33333333333333,5,5,5,6,903.666666666667,83.1111111111111
6,35,9,1,5.66666666666667,5,6,5,6,976.111111111111,82.2222222222222
6,36,8,1,5.75,6,5,5,6,1041,77.75
6,37,5,1,5.2,5,6,5,6,950.4,87.6
6,38,8,1,6.125,6,5,5,7,934.5,80.75
6,39,10,1,6.3,6,6,6,7,929,79.7
6,40,8,1,5.375,6,5,4,6,1013,79.75
6,41,9,1,5.22222222222222,5,5,5,6,845.666666666667,80.7777777777778
6,42,8,1,6,5,6,5,7,852,82.625
6,43,9,1,6.11111111111111,6,6,5,7,1006.44444444444,82.1111111111111
6,44,8,1,5.5,6,6,5,6,1081.375,80.25
6,45,11,1,5.72727272727273,6,7,5,7,990,76.6363636363636
6,46,8,1,5.25,5,6,4,6,936,86.625
6,47,9,1,6.66666666666667,6,6,6,7,947.666666666667,82.5555555555556
6,48,8,1,6,6,6,5,7,1062.375,80.5
6,1,13,2,4.76923076923077,2,8,2,8,793.076923076923,97.2307692307692
6,2,8,2,10.125,8,12,8,12,932.75,87.875
6,3,5,2,11.2,12,11,11,12,943,77.6
6,4,8,2,11.625,11,11,11,12,860.125,80.375
6,5,8,2,10.375,11,10,10,11,816.375,79.25
6,6,8,2,11.125,10,13,10,13,777.125,87.125
6,7,10,2,12.5,13,12,12,13,817.4,74.5
6,8,8,2,12.625,12,14,11,14,755.5,85.125
6,9,9,2,13,14,13,12,14,763.333333333333,76.4444444444444
6,10,8,2,14.25,14,13,13,15,779.625,75.75
6,11,8,2,14.375,13,15,13,15,891.75,83.375
6,12,9,2,13.8888888888889,15,14,13,15,771.777777777778,74.3333333333333
6,13,9,2,13.4444444444444,14,13,13,14,948,82.4444444444444
6,14,8,2,14.375,13,14,13,15,885.375,80.25
6,15,9,2,13.5555555555556,14,14,13,14,805.333333333333,72
6,16,8,2,12.75,14,11,11,14,1054.125,77.75
6,17,9,2,12.2222222222222,11,14,11,14,805.222222222222,79.6666666666667
6,18,9,2,13.5555555555556,14,14,13,14,711.222222222222,77.7777777777778
6,19,9,2,14.2222222222222,14,13,13,15,795,79.2222222222222
6,20,9,2,12.7777777777778,13,13,12,13,744.444444444444,80.1111111111111
6,21,8,2,13.75,15,12,12,15,905.125,77.125
6,22,9,2,11.6666666666667,13,12,11,13,938.777777777778,79.2222222222222
6,23,9,2,11.7777777777778,12,12,11,12,749.111111111111,85.2222222222222
6,24,8,2,12.75,12,13,12,13,879.75,85.75
6,25,8,2,14.25,13,16,13,16,840.875,87
6,26,9,2,16.2222222222222,17,16,15,17,843.888888888889,71.7777777777778
6,27,8,2,15.5,16,16,15,16,943.75,80
6,28,9,2,15.2222222222222,16,16,15,16,815,75.8888888888889
6,29,8,2,16.375,16,16,16,17,932.125,83
6,30,8,2,15.375,16,16,15,16,785.625,80
6,31,8,2,16.125,16,15,15,17,902.5,78.5
6,32,8,2,14.75,15,14,14,16,859.625,79
6,33,8,2,15.25,14,16,14,16,823.375,84.25
6,34,8,2,15.75,16,15,15,16,1043.875,78.25
6,35,9,2,14.2222222222222,15,13,13,15,927.555555555556,75.7777777777778
6,36,9,2,13.7777777777778,13,15,13,15,873.222222222222,86.7777777777778
6,37,8,2,15.125,15,17,14,17,1017.625,84.5
6,38,9,2,15.2222222222222,17,14,14,17,782,65
6,39,8,2,14.875,14,16,14,16,915.625,81.875
6,40,9,2,16,16,16,16,16,925.333333333333,73.4444444444444
6,41,8,2,15.75,16,16,15,16,966,79.375
6,42,8,2,15,16,15,14,16,856,80.5
6,43,9,2,15.2222222222222,15,16,14,16,770.333333333333,73.3333333333333
6,44,9,2,14.5555555555556,16,14,14,16,933.888888888889,69.1111111111111
6,45,7,2,14.8571428571429,14,15,14,15,938,67.1428571428571
6,46,8,2,14.5,15,16,14,16,979,82.625
6,47,9,2,15.7777777777778,16,15,15,16,870.777777777778,79.2222222222222
6,48,8,2,14.25,16,14,13,16,761.25,75.75
6,1,7,3,2.14285714285714,2,2,2,3,954.714285714286,84.4285714285714
6,2,8,3,2,2,3,1,3,937.875,73.625
6,3,7,3,2.57142857142857,3,4,2,4,971.571428571429,83.5714285714286
6,4,8,3,3.375,4,3,3,4,861.25,78
6,5,8,3,3.875,3,5,3,5,823.125,77.625
6,6,8,3,4.375,5,4,4,5,840.75,78.875
6,7,8,3,4.375,4,4,3,5,852,80.625
6,8,9,3,4.55555555555556,4,5,4,5,780.222222222222,79.7777777777778
6,9,8,3,5.25,5,5,5,6,847.375,80.125
6,10,8,3,5.375,5,6,5,6,874.5,84
6,11,8,3,5.25,6,6,5,6,797.75,79.5
6,12,8,3,5.625,6,5,5,6,765.25,79.625
6,13,10,3,5.2,5,6,5,6,846.4,74.7
6,14,NaN,3,5.7875,NaN,NaN,NaN,NaN,0,0
6,15,8,3,6.375,6,6,5,7,924.75,79.5
6,16,8,3,5,6,5,4,6,827.5,66.5
6,17,16,3,6.25,7,7,5,7,893.25,81.6875
6,18,7,3,5.71428571428571,7,6,5,7,996.571428571429,78.2857142857143
6,19,9,3,5.88888888888889,6,5,5,7,847.222222222222,82.1111111111111
6,20,8,3,6.75,5,7,5,8,801.875,83.375
6,21,9,3,6.55555555555556,7,6,6,7,860,81.8888888888889
6,22,8,3,5.75,6,5,5,6,834.875,82.875
6,23,9,3,6.22222222222222,5,7,5,7,859.333333333333,85.7777777777778
6,24,9,3,7,7,6,6,8,931.222222222222,73.7777777777778
6,25,9,3,6.55555555555556,6,7,6,7,1022.77777777778,85.2222222222222
6,26,9,3,7.22222222222222,7,8,6,8,828.111111111111,84.6666666666667
6,27,9,3,7,8,7,6,8,829.222222222222,77.5555555555556
6,28,9,3,7.44444444444444,7,7,7,8,805.222222222222,73.2222222222222
6,29,9,3,6.55555555555556,7,7,6,7,866.888888888889,83.8888888888889
6,30,8,3,6.875,7,7,6,7,896.625,84
6,31,8,3,6,7,6,5,7,990.25,78.5
6,32,10,3,6,6,6,6,6,1011.8,84.7
6,33,8,3,7,6,8,6,8,942.625,81.875
6,34,9,3,7,8,7,6,8,890.222222222222,81
6,35,9,3,8,7,8,7,9,965,79.3333333333333
6,36,8,3,7.625,8,7,7,8,895.125,73.5
6,37,8,3,8.5,7,10,7,10,877.25,85.5
6,38,8,3,6.875,10,4,4,10,1069.875,62.25
6,39,8,3,5.25,4,6,4,6,895.875,85.25
6,40,9,3,7.55555555555556,6,9,6,9,934.555555555556,87.2222222222222
6,41,8,3,8.125,9,8,8,9,893.125,77
6,42,7,3,7.85714285714286,8,8,7,8,739,82.2857142857143
6,43,9,3,8.11111111111111,8,8,8,9,943.222222222222,79.3333333333333
6,44,8,3,8.125,8,8,8,9,816,80.75
6,45,8,3,8.375,8,9,7,9,876.375,80.5
6,46,8,3,8.875,9,9,8,9,1016,78.75
6,47,9,3,8.77777777777778,9,8,8,9,909.111111111111,69.2222222222222
6,48,8,3,7.875,8,7,7,8,779.25,79.25
